route,flightDate,mean_fare,n
ATL-IAD,2022-04-30,269.4742127659574,235.0
ATL-IAD,2022-05-01,421.6695631067961,206.0
ATL-IAD,2022-05-02,279.7422831050228,219.0
ATL-IAD,2022-05-03,239.35965616045846,349.0
ATL-IAD,2022-05-04,228.21049689440994,322.0
ATL-IAD,2022-05-05,246.66209876543206,324.0
ATL-IAD,2022-05-06,265.54400641025643,312.0
ATL-IAD,2022-05-07,203.9318604651163,301.0
ATL-IAD,2022-05-08,292.01266457680254,319.0
ATL-IAD,2022-05-09,264.48241379310343,319.0
ATL-IAD,2022-05-10,209.60267813267816,407.0
ATL-IAD,2022-05-11,208.15639269406392,438.0
ATL-IAD,2022-05-12,268.78625615763553,406.0
ATL-IAD,2022-05-13,253.19056034482762,464.0
ATL-IAD,2022-05-14,205.61561959654176,347.0
ATL-IAD,2022-05-15,330.1092647058823,408.0
ATL-IAD,2022-05-16,263.3960837438424,406.0
ATL-IAD,2022-05-17,217.7166294642857,448.0
ATL-IAD,2022-05-18,223.01383297644537,467.0
ATL-IAD,2022-05-19,276.9313704496788,467.0
ATL-IAD,2022-05-20,292.77125748502993,501.0
ATL-IAD,2022-05-21,230.14647597254003,437.0
ATL-IAD,2022-05-22,348.0071106094808,443.0
ATL-IAD,2022-05-23,272.61348684210526,456.0
ATL-IAD,2022-05-24,249.46171656686624,501.0
ATL-IAD,2022-05-25,270.6592402826855,566.0
ATL-IAD,2022-05-26,328.77187755102034,490.0
ATL-IAD,2022-05-27,322.56810546875,512.0
ATL-IAD,2022-05-28,299.4368695652174,460.0
ATL-IAD,2022-05-29,329.9184848484849,660.0
ATL-IAD,2022-05-30,405.9432604735883,549.0
ATL-IAD,2022-05-31,361.06703252032514,492.0
ATL-IAD,2022-06-01,285.2676666666666,600.0
ATL-IAD,2022-06-02,256.5096831955923,726.0
ATL-IAD,2022-06-03,301.66874352331604,772.0
ATL-IAD,2022-06-04,315.7267877906977,688.0
ATL-IAD,2022-06-05,365.91097152428813,597.0
ATL-IAD,2022-06-06,284.0467025572005,743.0
ATL-IAD,2022-06-07,257.3390834473324,731.0
ATL-IAD,2022-06-08,319.0231652360515,932.0
ATL-IAD,2022-06-09,295.5396129032258,775.0
ATL-IAD,2022-06-10,265.22237704918035,732.0
